epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,20.872589111328125,
0,99,,13.135651588439941,
0,149,,7.687873363494873,
0,198,,,1.103872537612915
0,198,14.20654296875,,
1,199,,5.1024651527404785,
1,249,,2.2224228382110596,
1,299,,2.061614513397217,
1,349,,1.4762333631515503,
1,397,,,3.4549527168273926
1,397,2.6758081912994385,,
2,399,,2.4908692836761475,
2,449,,1.8755741119384766,
2,499,,2.3038506507873535,
2,549,,1.4900939464569092,
2,596,,,2.5727717876434326
2,596,2.010859251022339,,
