epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,20.925424575805664,
0,99,,14.534765243530273,
0,149,,8.666460990905762,
0,198,,,5.562981605529785
0,198,16.058700561523438,,
1,199,,5.276857852935791,
1,249,,6.491996765136719,
1,299,,3.561891794204712,
1,349,,2.692457437515259,
1,397,,,1.2266340255737305
1,397,3.281090021133423,,
2,399,,1.6539695262908936,
2,449,,1.1373096704483032,
2,499,,1.542639136314392,
2,549,,2.7272229194641113,
2,596,,,0.786909818649292
2,596,1.680333137512207,,
