epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,23.89618682861328,
0,99,,15.137624740600586,
0,149,,11.66494369506836,
0,198,,,6.326056480407715
0,198,17.366456985473633,,
1,199,,6.592763423919678,
1,249,,4.295779228210449,
1,299,,2.4438247680664062,
1,349,,1.5766539573669434,
1,397,,,9.9932861328125
1,397,3.091879367828369,,
2,399,,2.8783202171325684,
2,449,,2.551074981689453,
2,499,,2.3095850944519043,
2,549,,1.7883961200714111,
2,596,,,7.932596683502197
2,596,1.9911366701126099,,
